job,kind,state,source,left,right,threshold,gradient_cosine,bf16_cosine,bf16_l2_difference,left_count,right_count,intersection,union,jaccard,layer_random_ratio,fixed_0.0001_defined,fixed_0.0001_count,fixed_0.0001_jaccard,fixed_0.0005_defined,fixed_0.0005_count,fixed_0.0005_jaccard,fixed_0.001_defined,fixed_0.001_count,fixed_0.001_jaccard
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw1,sampled_pg_draw2,1e-05,0.09057195835908592,0.8324849142337382,0.019699445716021353,664197,672856,540263,796790,0.6780494233110356,0.00022066239103510102,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw1,sampled_pg_draw3,0.0,0.05270156323812075,0.8178451448126792,0.020570844049582513,2955717,2983631,2403889,3535459,0.6799368907969234,0.0009536031560583156,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw1,sampled_pg_draw3,1e-05,0.05270156323812075,0.8178451448126792,0.020570844049582513,664197,671402,530758,804841,0.6594569610643592,0.00022078487788792687,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw2,sampled_pg_draw3,0.0,-0.32955156765589244,0.7817521743806625,0.02254087565174511,2997714,2983631,2306249,3675096,0.6275343555651335,0.0009598758442638122,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw2,sampled_pg_draw3,1e-05,-0.32955156765589244,0.7817521743806625,0.02254087565174511,672856,671402,504958,839300,0.6016418443941379,0.000221900140711678,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg,0.0,,0.8772070202655265,0.01661370822156075,2793621,2907740,2494036,3207325,0.7776062606689376,0.0009149082091489718,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg,1e-05,,0.8772070202655265,0.01661370822156075,624869,653520,553137,725252,0.7626824882937241,0.0002115658969166395,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,student_topk,0.0,,0.8820376702411001,0.016295310973770342,2793621,2911451,2509385,3195687,0.7852411703649325,0.0009156112917564749,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,student_topk,1e-05,,0.8820376702411001,0.016295310973770342,624869,654830,556588,723111,0.769713086925797,0.00021183396666938658,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,topk_intersection,0.0,,0.8820904265763654,0.016291555759416466,2793621,2911449,2509352,3195718,0.7852232268304025,0.0009156140234229955,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,topk_intersection,1e-05,,0.8820904265763654,0.016291555759416466,624869,654819,556601,723087,0.7697566129663512,0.0002118331625762338,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,teacher_topk,0.0,,0.882079711333808,0.016291947441378584,2793621,2911403,2509402,3195622,0.7852624622061057,0.0009156072635516626,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,teacher_topk,1e-05,,0.882079711333808,0.016291947441378584,624869,654813,556584,723098,0.769721393227474,0.00021183230907301993,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,full_vocab,0.0,,0.8820999125301112,0.016291804358750148,2793621,2911453,2509432,3195642,0.7852669354076584,0.0009156165328319541,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,full_vocab,1e-05,,0.8820999125301112,0.016291804358750148,624869,654853,556647,723075,0.7698330048750129,0.00021183895083900446,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg_draw1,0.0,,0.8845879579151591,0.01611311648684879,2793621,2909765,2516106,3187280,0.7894210737682287,0.000915341987215955,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg_draw1,1e-05,,0.8845879579151591,0.01611311648684879,624869,654394,558127,721136,0.773955259479488,0.00021176580229521194,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg_draw2,0.0,,0.8848585762002295,0.01609356042329621,2793621,2909141,2517089,3185673,0.7901278630920374,0.0009152698194115149,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg_draw2,1e-05,,0.8848585762002295,0.01609356042329621,624869,654269,558306,720832,0.7745299875699192,0.0002117522327334605,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg_draw3,0.0,,0.8800494001767055,0.016410297349119342,2793621,2905889,2495714,3203796,0.7789865522024498,0.0009139698522677387,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,sampled_pg_draw3,1e-05,,0.8800494001767055,0.016410297349119342,624869,652384,553889,723364,0.7657126978948358,0.00021112540669967274,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,student_topk,0.0,0.7806553063953656,0.9203196722789223,0.013502201580586395,2907740,2911451,2672755,3146436,0.8494547481658613,0.0009371622207225749,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,student_topk,1e-05,0.7806553063953656,0.9203196722789223,0.013502201580586395,653520,654830,597587,710763,0.8407683011074015,0.00021744115784741946,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,topk_intersection,0.0,0.7810270843883793,0.9204024304451395,0.013495103576595556,2907740,2911449,2672962,3146227,0.8495769694939367,0.0009371651777443944,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,topk_intersection,1e-05,0.7810270843883793,0.9204024304451395,0.013495103576595556,653520,654819,597623,710716,0.8408745546744409,0.0002174401263569428,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,teacher_topk,0.0,0.7808784516758006,0.9203514538772585,0.01349917253311554,2907740,2911403,2672824,3146319,0.8495082666442914,0.0009371581865279776,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,teacher_topk,1e-05,0.7808784516758006,0.9203514538772585,0.01349917253311554,653520,654813,597580,710753,0.8407702816590292,0.00021743936878395676,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,full_vocab,0.0,0.7797235723023715,0.9200958201843756,0.013521725238342573,2907740,2911453,2672175,3147018,0.8491133511152462,0.0009371678056296995,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,full_vocab,1e-05,0.7797235723023715,0.9200958201843756,0.013521725238342573,653520,654853,597435,710938,0.8403475408544767,0.00021744626838311965,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,sampled_pg_draw1,0.0,0.7155083714163356,0.9108171929825689,0.014280516461893735,2907740,2909765,2644858,3172647,0.8336439572382304,0.0009368777553735425,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,sampled_pg_draw1,1e-05,0.7155083714163356,0.9108171929825689,0.014280516461893735,653520,654394,590641,717273,0.8234535525525148,0.00021736911776283876,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,sampled_pg_draw2,0.0,0.7381364758397861,0.9143514607544254,0.013994177271353318,2907740,2909141,2655105,3161776,0.8397511398656957,0.0009368042839461115,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,sampled_pg_draw2,1e-05,0.7381364758397861,0.9143514607544254,0.013994177271353318,653520,654269,593136,714653,0.8299636327000657,0.00021735505112164652,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,sampled_pg_draw3,0.0,0.8011928678162882,0.9378290876672366,0.011913144043746724,2907740,2905889,2713675,3099954,0.8753920219461321,0.0009353887307475249,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,sampled_pg_draw3,1e-05,0.8011928678162882,0.9378290876672366,0.011913144043746724,653520,652384,607555,698349,0.8699876422820109,0.00021668411095016193,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,student_topk,topk_intersection,0.0,0.9999537969958392,0.9991397224962614,0.0014037927600779596,2911451,2911449,2908502,2914398,0.9979769406923831,0.0009379206707294307,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,student_topk,topk_intersection,1e-05,0.9999537969958392,0.9991397224962614,0.0014037927600779596,654830,654819,654147,655502,0.9979328819744258,0.00021772716766520903,,,,,,,,,
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,student_topk,teacher_topk,0.0,0.9999627861370693,0.9991694411274079,0.0013793079600866423,2911451,2911403,2908756,2914098,0.9981668427074175,0.0009379139392990423,,,,,,,,,
