job,kind,state,source,branch,gradient_l2,clip_coefficient,master_update_l2,bf16_l2,bf16_nonzero_fraction,bf16_fraction_above_1e5
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,sampled_pg,63.11767372901475,0.015843422690923484,0.0025149012909649335,0.033823712398805335,0.0016893073772101634,0.00037924880293039903
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,student_topk,41.274453340871524,0.024228061060270936,0.0025410737405222356,0.033913022444108355,0.0017037984632411625,0.00038275925733328813
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,topk_intersection,41.24742772191364,0.024243935464242094,0.0025409588084908744,0.03391480663798966,0.0017039129598499984,0.000382780180571451
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,teacher_topk,41.219328229172696,0.024260462717385925,0.002540955092230244,0.033911339358122974,0.00170378160841042,0.0003827255476718034
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,full_vocab,41.266595753449494,0.024232674334028034,0.0025410182688088345,0.03391266856128185,0.0017038682073683721,0.00038272089806332273
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,sampled_pg_draw1,31.677882296044615,0.03156776577066507,0.0025497314074693334,0.03394817036180993,0.0017083283443034337,0.0003840152328241231
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,sampled_pg_draw2,63.87855888178483,0.01565470483133345,0.002504797354930024,0.0338266799978184,0.001683698786980382,0.00037842582222932434
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,sampled_pg_draw3,82.08061120152418,0.012183144998295111,0.0025262131041733317,0.03383263151174758,0.001694995591985176,0.00038047223116186946
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,zero_gradient,0.0,1.0,0.0024014030993843487,0.03320595144472139,0.0016236554866644766,0.00036317452521173946
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,sampled_pg,5.178775124181106,0.19309581569489548,0.002518019677784971,0.033811805394484716,0.0016882304116458335,0.00037953068544453825
density-m-pg500-draw45,density,m-pg500,raw/density-m-pg500-draw45/measurements.json,student_topk,16.110319994676743,0.06207200963471958,0.0025513171465284183,0.03393747100690367,0.0017070020434843288,0.0003834346129651022
