geometry_id,seed,raw_proposal_adamw_mse_ratio,adamw_proposal_adamw_mse_ratio,adamw_vs_raw_mse_ratio,proposal_l1_distance,metric_squared_min,metric_squared_max,raw_scale_task_1,adamw_scale_task_1,raw_prob_task_1,adamw_prob_task_1,raw_scale_task_2,adamw_scale_task_2,raw_prob_task_2,adamw_prob_task_2,raw_scale_task_3,adamw_scale_task_3,raw_prob_task_3,adamw_prob_task_3,raw_scale_task_4,adamw_scale_task_4,raw_prob_task_4,adamw_prob_task_4
549,20260902,0.929209819545792,0.8306436375469541,0.8939247305339304,0.30130716146821834,0.040404714683717854,54.53537626076403,9.074954356354668,51.59243295925933,0.2583693738227104,0.4090229545568196,4.156985099938518,12.16641102379691,0.11835185005744578,0.09645486940373037,9.290705485981272,27.108983325851803,0.26451193741854095,0.21491904566174286,12.601310432489813,35.267961366229365,0.3587668387013028,0.2796031303777072
550,20260902,0.9932700254590474,0.9631477116064162,0.9696735901813709,0.15655428260047352,0.029680388983906927,34.30308513005568,9.811530406050004,12.065816175920203,0.23177267051601552,0.18011708489203013,8.62945262889539,17.4177692595411,0.20384906310408493,0.2600104111159554,12.495137522447527,21.254315113338354,0.29516612314188795,0.3172819164302542,11.396439119318517,16.250837266677255,0.2692121432380117,0.2425905875617603
551,20260902,0.9472151193557292,0.8638304733501042,0.9119686285599611,0.26770844867632015,0.03997908783664117,32.993689688339835,7.920378275243816,14.957267281112665,0.17667691718228656,0.16372589373965954,12.751063285272272,38.212873295050585,0.28443320176760056,0.41828742610576064,9.852230763101332,18.008555664419074,0.2197700284131501,0.1971260401852019,14.306056435301088,20.17684282214046,0.3191198526369628,0.22086063996937796
552,20260902,0.9164435370898463,0.8924215700208313,0.9737878373333327,0.1578650403994091,0.03284823310601567,50.050603045398034,12.711920313036051,32.67991320898443,0.29627878272232466,0.24495009314036112,6.47837160734397,16.461841181582404,0.15099245484400936,0.12338862422626831,10.476914162319513,35.195407707607934,0.24418713288464158,0.26380481309605835,13.238061031718804,49.077415500120786,0.3085416295490245,0.3678564695373122
553,20260902,0.8795883056616947,0.8573789496776266,0.9747502827844438,0.14212709618476463,0.027328526484456297,38.72408814584281,10.704292557987431,33.262976123265375,0.23768984874750362,0.26607054682578984,16.027279836467773,49.827496373838926,0.3558872947022841,0.3985701447163803,7.4424023649574425,14.287560430354437,0.16525926238112773,0.11428619623281427,10.86073166323534,27.637593642604166,0.24116359416908442,0.2210731122250157
554,20260902,0.9424059266205609,0.8986156346676413,0.9535335138330993,0.2011337613378988,0.01973576007788128,46.852395404921,10.280121457354598,22.59992591065739,0.21673689900912427,0.23252343407538603,14.47127846916223,37.894055226340285,0.3050995100704617,0.38987985567314937,13.662038803765755,20.345097131808085,0.288038223746093,0.20932421948580163,9.017900854039057,16.355107773235524,0.190125367174321,0.168272490765663
555,20260902,1.0018876235618717,0.9903105170657079,0.9884447055499046,0.09722116983823248,0.054450280917789036,39.34069839243629,16.44909035476076,40.83128991609307,0.33946317102519263,0.2908525861060764,9.821913085679979,31.604895580965195,0.20269678685507186,0.22513042405043376,10.488368338250515,33.42239220210276,0.2164505573374932,0.23807695582993965,11.696813630417594,34.52624907078749,0.24138948478224234,0.24594003401355022
556,20260902,1.1880385253237207,0.9335148142638277,0.7857613994541637,0.37690487061959216,0.030011725138784858,37.91947403478896,10.047370476214782,18.019809570792315,0.26867635505167514,0.23794756699700087,10.127203453741187,17.922428273499296,0.2708111656934738,0.2366616686821017,6.240240184214277,26.908630318341345,0.16687002746745785,0.3553224627772539,10.980997937405148,12.87930129532767,0.2936424517873933,0.1700683015436435
557,20260902,0.9514125730249,0.9166548215900681,0.963467214518383,0.18362929421570168,0.04367992785062414,10.305014298829025,9.253702910857273,13.329157365812346,0.31793165216678726,0.2844055120855461,6.917743639177467,8.407237831201368,0.2376745488435206,0.179386041816911,8.868053207699896,16.744620468765966,0.30468179441107757,0.3572815766518085,4.066450680955153,8.385717922010562,0.13971200457861443,0.17892686944573444
558,20260902,0.9156518929633155,0.9126204041314501,0.996689256195327,0.05012902282209594,0.021965526863399545,23.35056768197381,15.01019584818275,37.42408067255601,0.3133407992323379,0.3017361141968819,6.079771671818225,14.664377639435148,0.12691643294103244,0.11823329381831946,13.585071441330896,38.28229350612169,0.2835910461201868,0.3086555575312348,13.228699986665438,33.65842106417897,0.2761517217064428,0.2713750344535638
559,20260902,0.8894917979752184,0.8653604332322858,0.9728706157854815,0.15159338140235767,0.0718832494392323,19.3674149640924,8.50009273400775,14.802132251708908,0.20276679589133528,0.17667644493464574,14.533970686655437,24.882672573932346,0.34670288430161805,0.29699654455712876,5.7334985267040945,11.623278393522192,0.13677064026092553,0.1387340330523055,13.152973891069657,32.472933866528734,0.31375967954612105,0.3875929774559199
560,20260902,0.9983084957162149,0.7616840536277935,0.7629746284802872,0.46213976378521426,0.04109775752974463,40.81277343439041,9.006346606138932,17.369827137022433,0.2658616747761687,0.2520119360832212,9.112825704162566,31.617739235160816,0.2690048706320691,0.45872924447497987,6.170791846255975,15.404886661040155,0.18215788562062277,0.22350339367031924,9.586097948751442,4.532167788254045,0.2829755689711393,0.06575542577147972
561,20260902,0.9063880677190641,0.8280597759196049,0.9135819473036828,0.27095461920521646,0.02214095874639591,43.592570056670894,7.317708476543198,17.447913191692784,0.22691231538389786,0.15943077115055213,9.255321300850087,46.23487461578894,0.28699508770126464,0.42247239730387287,4.717149923009807,14.908115732446205,0.14627248604863335,0.13622330427212426,10.958878549973727,30.847902192351565,0.3398201108662042,0.2818735272734508
562,20260902,1.0407241111612089,0.9912687980763968,0.9524799007206325,0.2106977607224914,0.0322786499915487,47.66549047015841,13.640926086852017,32.750339479553304,0.3285945329695255,0.24283838262034832,9.609568773136937,38.84054899569167,0.23148367954951468,0.2879962848656495,8.157632702219114,33.08831982489409,0.1965081762671747,0.24534445131228555,10.10481534520514,30.18554877063641,0.24341361121378519,0.22382088120171661
